Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,City,State,Region,Product_ID,Product_Category,Product_Name,Quantity,Price,Discount,Sales,Profit,Payment_Mode,Delivery_Status,Feedback_Rating
ORD100000,2026-02-02,CUST3275,Monica Long,Male,60,Ericfort,Tennessee,South,PROD364,Furniture,Appear,10,371.29,0.24,500.87,-61.79,UPI,Cancelled,2
ORD100001,2025-01-15,CUST5856,Alfred Reeves,Male,46,Williamsville,Pennsylvania,East,PROD205,Clothing,Either,10,72.62,0.14,154.52,-51.02,Card,Delivered,1
ORD100002,2025-11-15,CUST2135,Brian Johnston,Female,55,New Stephanieton,Missouri,South,PROD436,Food,Miss,6,454.08,0.21,955.17,205.61,UPI,Pending,2
ORD100003,2024-07-29,CUST1959,Jeffrey Allison,Male,55,Port Jessicaburgh,Kentucky,North,PROD806,Furniture,Thus,1,399.96,0.15,146.52,-94.93,Cash,Cancelled,1
ORD100004,2026-02-21,CUST6626,Kathleen Lopez,Male,27,Trevorland,Arizona,West,PROD796,Furniture,When,10,318.98,0.19,149.62,-62.0,Cash,Delivered,1
ORD100005,2025-05-04,CUST2428,Rebecca Zuniga,Female,56,Bendertown,Oregon,South,PROD854,Electronics,Seat,4,54.15,0.23,702.9,93.32,UPI,Cancelled,2
ORD100006,2024-12-20,CUST5218,Kylie Bender,Male,24,Patriciaport,Oregon,East,PROD430,Electronics,Benefit,10,95.61,0.08,560.44,157.08,Card,Delivered,5
ORD100007,2025-10-04,CUST7058,Timothy Young,Male,30,Justinstad,Rhode Island,North,PROD663,Furniture,Feeling,2,277.88,0.12,79.94,41.35,UPI,Delivered,2
ORD100008,2026-02-13,CUST1991,Kelly Huerta MD,Female,20,South Jamesview,South Carolina,North,PROD273,Furniture,Middle,6,58.63,0.16,193.79,127.09,UPI,Pending,5
ORD100009,2026-03-02,CUST5508,Richard Tapia,Female,48,Rhodesstad,Montana,East,PROD419,Electronics,Physical,1,68.56,0.13,528.34,120.07,UPI,Delivered,5
ORD100010,2025-12-17,CUST9863,Helen Gilbert,Male,23,Jessicashire,Utah,South,PROD361,Food,Group,3,448.26,0.24,477.67,39.79,UPI,Cancelled,4
ORD100011,2025-07-12,CUST9803,Patty Hernandez,Male,57,Waltermouth,Indiana,South,PROD685,Food,Service,2,443.9,0.26,978.61,112.1,Cash,Delivered,4
ORD100012,2025-02-27,CUST1892,Renee Abbott,Female,47,East Sarah,Missouri,West,PROD234,Electronics,Situation,8,76.26,0.04,518.3,-8.83,Cash,Pending,1
